ID	Name	Latitude	Longitude	Address	Zipcode	Type	Website	drivingTime	walkingTime	transitTime	nomalized_crime_score	foodscore	gasscore	entertainmentscore	clusters
950	692 Quillian Av	33.732337	-84.29769	692 Quillian Ave, Decatur, GA	30032	House	http://www.zillow.com/homedetails/692-Quillian-Ave-Decatur-GA-30032/14454400_zpid/	1030	10075	4142	96.36531269	59.34065934	15.38461538	14.43298969	1
951	6th St N	33.77617	-84.37527	6th St NE, Atlanta, GA	30303	Condo	http://www.zillow.com/homedetails/6th-St-NE-Atlanta-GA-30308/2103335733_zpid/	574	1831	1881	97.17870148	87.91208791	30.76923077	83.50515464	3
952	700 Park Regency Pl NE APT 150	33.854682	-84.36477	700 Park Regency Pl NE APT 1506, Atlanta, GA	30326	Apartment	http://www.zillow.com/homedetails/700-Park-Regency-Pl-NE-APT-1506-Atlanta-GA-30326/65466427_zpid/	945	8384	2889	96.25047744	89.01098901	7.692307692	72.16494845	0
953	700 Piedmont Ave NE UNIT	33.773665	-84.382088	700 Piedmont Ave NE UNIT 1, Atlanta, GA	30303	Apartment	http://www.zillow.com/homedetails/700-Piedmont-Ave-NE-UNIT-1-Atlanta-GA-30308/71756655_zpid/	508	1565	1506	80.27443459	91.20879121	34.61538462	83.50515464	7
954	703 Windsor St S	33.735708	-84.39856	703 Windsor St SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/703-Windsor-St-SW-Atlanta-GA-30310/35890197_zpid/	682	3979	2655	90.35024013	81.31868132	11.53846154	88.65979381	0
955	70 Chester Ave S	33.752053	-84.358921	70 Chester Ave SE, Atlanta, GA	30316	House	http://www.zillow.com/homedetails/70-Chester-Ave-SE-Atlanta-GA-30316/35838750_zpid/	730	4682	3242	97.16124481	91.75824176	30.76923077	92.78350515	3
956	711 Cosmopolitan Dr NE # TL	33.8231	-84.35976	711 Cosmopolitan Dr NE # TL9, Atlanta, GA	30324	Condo	http://www.zillow.com/homedetails/711-Cosmopolitan-Dr-NE-TL9-Atlanta-GA-30324/2099235939_zpid/	821	5808	2197	98.43434305	83.51648352	73.07692308	90.20618557	8
957	712 Catherine St SW # 71	33.7257	-84.4109	712 Catherine St SW # 712, Atlanta, GA	30310	Condo	http://www.zillow.com/homedetails/712-Catherine-St-SW-712-Atlanta-GA-30310/2099622175_zpid/	796	5206	2785	93.7001332	73.62637363	11.53846154	22.68041237	2
958	712 Catherine St S	33.725676	-84.410858	712 Catherine St SW, Atlanta, GA	30310	House	http://www.zillow.com/homedetails/712-Catherine-St-SW-Atlanta-GA-30310/35831336_zpid/	796	5203	2785	93.69826038	73.62637363	11.53846154	22.68041237	2
959	713 Reed St S	33.735147	-84.385577	713 Reed St SE, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/713-Reed-St-SE-Atlanta-GA-30315/35882168_zpid/	671	4441	2727	95.0109592	82.41758242	7.692307692	90.20618557	0
960	721 Confederate Ave S	33.734527	-84.365771	721 Confederate Ave SE, Atlanta, GA	30303	House	http://www.zillow.com/homedetails/721-Confederate-Ave-SE-Atlanta-GA-30312/35867612_zpid/	696	5282	3688	98.1635499	86.26373626	3.846153846	90.72164948	0
